"goal","dimension","region_id","score","region_label"
"FIS","score",135,50.36,"Mexico"
"FIS","score",136,85.52,"Guatemala"
"FIS","score",137,45.2,"Ecuador"
"FIS","score",138,73.47,"Peru"
"FIS","score",139,44.23,"Venezuela"
"FIS","score",140,4.36,"Guadeloupe and Martinique"
"FIS","score",141,65.99,"Faeroe Islands"
"FIS","score",143,59.31,"Iceland"
"FIS","score",144,64.13,"Jan Mayen"
"FIS","score",145,67.63,"Greenland"
"FIS","score",146,53.1,"Pitcairn"
"FIS","score",147,60.14,"French Polynesia"
"FIS","score",148,,"Line Group"
"FIS","score",149,52.91,"Jarvis Island"
"FIS","score",150,52.08,"Palmyra Atoll"
"FIS","score",151,56.17,"American Samoa"
"FIS","score",152,50.84,"Samoa"
"FIS","score",153,50.79,"Cook Islands"
"FIS","score",154,62.97,"Niue"
"FIS","score",155,66.79,"Tonga"
"FIS","score",156,58.23,"Tokelau"
"FIS","score",157,,"Phoenix Group"
"FIS","score",158,92.5,"Howland Island and Baker Island"
"FIS","score",159,53.15,"Johnston Atoll"
"FIS","score",161,95.5,"Wallis and Futuna"
"FIS","score",162,48.85,"New Zealand"
"FIS","score",163,53.16,"United States"
"FIS","score",164,34.44,"Belize"
"FIS","score",166,3.17,"Jamaica"
"FIS","score",167,3.09,"Guyana"
"FIS","score",168,7.39,"Suriname"
"FIS","score",169,16.38,"French Guiana"
"FIS","score",171,64.55,"Brazil"
"FIS","score",172,42.5,"Argentina"
"FIS","score",173,59,"Uruguay"
"FIS","score",174,70.35,"Finland"
"FIS","score",175,64.01,"Denmark"
"FIS","score",176,,"Germany"
"FIS","score",177,62.12,"Netherlands"
"FIS","score",178,76.11,"Poland"
"FIS","score",179,67.1,"France"
"FIS","score",180,69.98,"United Kingdom"
"FIS","score",181,74.49,"Ireland"
"FIS","score",182,56.32,"Spain"
"FIS","score",183,56.66,"Portugal"
"FIS","score",184,64.71,"Italy"
"FIS","score",185,72.56,"Monaco"
"FIS","score",186,67.28,"Montenegro"
"FIS","score",187,68.28,"Croatia"
"FIS","score",188,87.34,"Slovenia"
"FIS","score",189,78.89,"Lithuania"
"FIS","score",190,80.49,"Qatar"
"FIS","score",191,58.4,"Iran"
"FIS","score",192,61.23,"Iraq"
"FIS","score",193,56.29,"Guinea Bissau"
"FIS","score",194,63.8,"Guinea"
"FIS","score",195,82.4,"Ivory Coast"
"FIS","score",196,45.48,"Nigeria"
"FIS","score",197,53.21,"Cameroon"
"FIS","score",198,61.85,"Gabon"
"FIS","score",199,30.12,"Democratic Republic of the Congo"
"FIS","score",200,16.18,"Angola"
"FIS","score",202,62.44,"Tanzania"
"FIS","score",203,49.42,"India"
"FIS","score",204,2.01,"Bangladesh"
"FIS","score",205,1.98,"Myanmar"
"FIS","score",206,65.48,"Malaysia"
"FIS","score",207,3.09,"Vietnam"
"FIS","score",208,79.55,"Singapore"
"FIS","score",209,38.12,"China"
"FIS","score",210,28.63,"Japan"
"FIS","score",212,70.15,"Kiribati"
"FIS","score",213,,"Antarctica"
"FIS","score",214,49.6,"Egypt"
"FIS","score",215,5.1,"Jordan"
"FIS","score",216,84.52,"Indonesia"
"FIS","score",218,59.92,"Canada"
"FIS","score",219,70.66,"Saint Pierre and Miquelon"
"FIS","score",220,6.49,"Sint Maarten"
"FIS","score",221,,"Northern Saint-Martin"
"FIS","score",222,72.49,"Sweden"
"FIS","score",223,66.97,"Norway"
"FIS","score",224,75.16,"Chile"
"FIS","score",227,,"Jersey"
"FIS","score",228,,"Guernsey"
"FIS","score",231,44.08,"East Timor"
"FIS","score",232,64.2,"Bosnia and Herzegovina"
"FIS","score",237,,"Oecussi Ambeno"
"FIS","score",244,,"Curacao"
"FIS","score",245,,"Bonaire"
"FIS","score",247,69.59,"Brunei"
"FIS","score",248,,"Saba"
"FIS","score",249,,"Sint Eustatius"
"FIS","score",250,3.28,"Aruba"
"MAR","score",0,23.93,"GLOBAL"
"MAR","score",1,,"Cocos Islands"
"MAR","score",2,,"Christmas Island"
"MAR","score",3,,"Norfolk Island"
"MAR","score",4,,"Macquarie Island"
"MAR","score",5,20.57,"New Caledonia"
"MAR","score",6,0.17,"Vanuatu"
"MAR","score",7,0,"Solomon Islands"
"MAR","score",8,0,"Palau"
